DWUS_BrandId,AX_RESPONSE_CODE,NAME,ATG_Start_Date,ATG_End_Date,Orders
WSJ,AADD006,RC WSJ OTP - Magazine Discover Magazine Dec-20 2 Saracosa...,11/19/20,09/13/21,
WSJ,1823015,RC WSJ Inserts - Newspaper New York Times Dec-20 2 Saraco...,11/20/20,06/16/21,131
WSJ,1823016,RC WSJ Inserts - Newspaper New York Times Dec-20 2 Saraco...,11/20/20,03/08/21,57
WSJ,1823021,RC WSJ Inserts - Newspaper Akron Beacon Journal Dec-20 2 ...,11/20/20,03/08/21,3
WSJ,1823022,RC WSJ Inserts - Newspaper Akron Beacon Journal Dec-20 2 ...,11/20/20,03/08/21,7
WSJ,1823023,RC WSJ Inserts - Newspaper Arizona Republic Dec-20 2 Sara...,11/20/20,03/08/21,15
WSJ,1823024,RC WSJ Inserts - Newspaper Arizona Republic Dec-20 2 Sara...,11/20/20,03/08/21,10
WSJ,1823029,RC WSJ Inserts - Newspaper New York Times Dec-20 2 Saraco...,11/20/20,06/16/21,97
WSJ,1823030,RC WSJ Inserts - Newspaper New York Times Dec-20 2 Saraco...,11/20/20,03/08/21,129
4S,AADF002,"RC 4S Email TCM Dec-20 TCM: Stewart, Eartha Kitt, James Dean",11/20/20,03/18/21,30
WSJ,1823018,RC WSJ Inserts - Newspaper Wall Street Journal Dec-20 2 S...,11/21/20,06/17/21,792
WSJ,1823019,RC WSJ Inserts - Newspaper Wall Street Journal Dec-20 2 S...,11/21/20,03/09/21,78
WSJ,1823020,RC WSJ Inserts - Newspaper Wall Street Journal Dec-20 2 S...,11/21/20,03/09/21,70
WSJ,1823045,RC WSJ Inserts - Newspaper Wall Street Journal Dec-20 2 b...,11/21/20,03/09/21,50
WSJ,1823027,RC WSJ Inserts - Newspaper Fort Myers News Press Dec-20 2...,11/22/20,03/10/21,12
WSJ,1823041,RC WSJ Inserts - Newspaper Atlanta Journal- Constitution ...,11/22/20,03/10/21,19
